no,match_id,leagueid,key,value,data_year
127232,5510102845,12214,miad,2,2020
193008,5726427620,12531,gg,5,2020
157050,5620668600,11863,dota,1,2020
190913,5718282018,12531,x-x,1,2020
182968,5699926158,12496,falando,1,2020
149885,5585759162,12320,speak,1,2020
185312,5702288654,12093,турик,1,2020
139623,5554055940,12169,troll,1,2020
107774,5464162875,12101,konin,1,2020
143089,5565779243,11464,gg,2,2020
105569,5460479985,11863,hang,1,2020
188386,5711000792,12531,v,1,2020
141895,5561107360,12245,buhaoyisi,1,2020
161988,5638118642,12205,gl,1,2020
113076,5470956958,12101,net,1,2020
167219,5654835225,12454,bro,1,2020
198672,5741586295,11912,l,1,2020
117938,5480923284,11602,chef,1,2020
109696,5466550752,12003,sa,3,2020
168197,5659996649,12458,gl,1,2020
112880,5470678392,12093,u,1,2020
144202,5568751584,12205,lag,1,2020
189913,5712434234,12214,mute,1,2020
176480,5681991090,12093,очень,1,2020
183703,5701949197,12577,eeh,3,2020
133035,5533098972,11510,guys,1,2020
156194,5616781007,11863,g,1,2020
116224,5476890334,11863,en,1,2020
174648,5676431144,12532,gg,5,2020
117781,5480734209,11602,akumulasi,1,2020
161621,5636056444,11863,hf,1,2020
174798,5676610335,12326,wahahahahaha,1,2020
171717,5670368519,12214,rafte,1,2020
192361,5723043933,12556,thats,1,2020
185620,5702413641,12527,gg,1,2020
170742,5668139478,12532,hf,1,2020
104094,5458474344,12005,и,2,2020
193612,5731247508,12548,g,6,2020
124511,5502815233,12170,wait,1,2020
176286,5681025906,12532,god,1,2020
125012,5503950922,12096,padin,1,2020
173099,5672390315,12532,dont,3,2020
192690,5724238540,12616,gg,6,2020
174462,5675909579,12214,yxd,1,2020
106580,5462093930,12005,gg,1,2020
111164,5468585156,12005,yt,1,2020
127491,5510784776,12096,gg,1,2020
196033,5737311021,11863,the,2,2020
163870,5646011608,12436,ready,1,2020
122372,5496480935,12169,esta,1,2020
189512,5711963096,12577,ngungsi,1,2020
113613,5472034509,12005,фаново,1,2020
168266,5660143135,12458,gl,3,2020
148418,5581306103,12093,пойду,1,2020
154494,5609408683,12205,line,1,2020
124480,5502805052,12096,rabbit,3,2020
168827,5662079677,12093,down,1,2020
114070,5472338915,12101,boys,1,2020
196881,5738608739,11863,trash,1,2020
125236,5504559894,12185,g,9,2020
164063,5646590222,12454,gg,5,2020
153255,5597938645,11382,g,1,2020
121041,5489952193,12069,gg,6,2020
119867,5485883898,11602,org,1,2020
132824,5532310756,12169,nao,2,2020
178373,5687153378,12496,v,1,2020
165842,5652387062,12173,odlozit,1,2020
178162,5686998814,12496,infinity,1,2020
115213,5474178554,12100,gg,3,2020
124272,5502410568,12116,hola,1,2020
199251,5742743010,11912,banir,1,2020
118263,5480927986,12093,тини,1,2020
115965,5476297138,11863,games,1,2020
135413,5541208760,12229,ya,1,2020
104510,5458908502,12042,gg,1,2020
100182,5447151947,12027,xddx,1,2020
153113,5597480745,11263,g,1,2020
137385,5546637497,12245,ren,1,2020
113740,5472201063,12113,activation,1,2020
175017,5677701966,12532,is,4,2020
122957,5499118975,10650,aja,9,2020
145765,5573315607,12270,gwr,2,2020
151056,5589604558,12169,ms,1,2020
140242,5556369660,12230,place,1,2020
164265,5647110542,11027,okwokawokw,1,2020
102107,5455177276,11602,iceiceice,1,2020
198742,5741697202,12616,gg,4,2020
195704,5736944025,11863,gg,7,2020
122625,5497728151,12116,reason,1,2020
109975,5466982903,11602,jgn,1,2020
173117,5672390315,12532,its,1,2020
168879,5662094834,12093,hf,3,2020
133740,5536914873,12093,the,1,2020
181255,5694390609,12531,g,2,2020
113876,5472267735,12100,inke,1,2020
161219,5633464554,12436,отжать,1,2020
155202,5613246417,11863,coin,1,2020
145769,5573315607,12270,weh,1,2020
92379,6096750927,11912,governador,1,2021
18816,5812870388,12735,g,5,2021
28046,5843079898,12214,g,10,2021
83387,6077608663,13194,dei,1,2021
9446,5780493827,12721,me,1,2021
87916,6087473674,11912,aqui,1,2021
80462,6067666906,13256,spiking,1,2021
89481,6091992196,13320,auto,1,2021
95740,6102938349,13320,ph,1,2021
77640,6055986994,13194,chat,1,2021
38832,5879619262,11863,send,1,2021
67377,5993209556,13112,g,3,2021
50408,5933403691,13026,done,2,2021
87459,6084892926,13268,gg,3,2021
201249,5746524372,11912,lajes,1,2020
54601,5946678376,12692,of,1,2021
18200,5809274319,12705,audio,1,2021
29010,5846432218,12705,gg,7,2021
43144,5898870017,11912,g,1,2021
87311,6084689722,13320,ya,1,2021
40181,5886259086,12723,hf,1,2021
27152,5840213416,12705,please,1,2021
20295,5819879375,12705,glhf,2,2021
8072,5778368700,12630,se,1,2021
6547,5776355369,12719,wp,1,2021
37176,5873136708,12093,брат,2,2021
71669,6010937326,13228,kal,1,2021
26641,5838429599,12780,ty,1,2021
81823,6072392432,13194,g,2,2021
56814,5953602042,13059,gg,5,2021
18649,5811931125,12093,gl,1,2021
8933,5779828484,12734,nvm,1,2021
28210,5843445553,12214,ticker,1,2021
36934,5872769012,12093,фарм,1,2021
64030,5977171027,13115,jacket,1,2021
2706,5774259019,12721,sry,1,2021
200592,5745572011,12646,odohon,1,2020
6519,5776274436,12719,apologies,1,2021
63100,5972908855,12942,g,2,2021
22017,5826688604,12780,glhf,1,2021
81311,6070512304,13256,dcd,1,2021
92912,6097525499,13268,min,1,2021
37665,5875803989,11863,gg,2,2021
26636,5838429599,12780,ok,1,2021
71006,6007294941,13043,ребят,1,2021
95164,6102450695,13320,ml,1,2021
63394,5973711358,12873,total,1,2021
32458,5860663994,12093,инет,1,2021
28855,5846078590,12705,youve,1,2021
12031,5781031081,12717,до,1,2021
36943,5872769012,12093,цена,1,2021
22517,5827784915,10650,belima,2,2021
24319,5833195500,10650,nyantel,2,2021
4458,5775185705,12726,gg,6,2021
52707,5942569013,12938,whats,1,2021
71790,6010981078,13228,si,1,2021
50718,5934219342,13043,мне,1,2021
16425,5800696577,12093,паузы,1,2021
74427,6027906800,12964,gl,3,2021
95964,6103210019,13320,no,1,2021
11118,5780882348,12717,ggwp,1,2021
74508,6028616771,13237,gl,1,2021
203328,5752809085,12677,gg,1,2020
8710,5779532887,12719,stream,2,2021
96086,6104167708,13286,lanjiao,1,2021
60978,5963755793,13102,chn,1,2021
61065,5963772680,13102,min,1,2021
77523,6055832598,13256,ta,1,2021
4250,5775169206,12726,ez,3,2021
87815,6086009090,11912,fukuro,1,2021
20090,5818200829,12735,try,3,2021
51441,5935789134,13069,the,1,2021
86432,6082991182,13325,decir,1,2021
85991,6081979305,13268,рмк,3,2021
3894,5775164104,12726,hazlo,1,2021
73973,6024303000,13194,b,1,2021
35833,5868181010,12881,top,1,2021
50899,5934370065,13043,лучше,1,2021
65828,5985799123,12780,if,1,2021
48507,5924812056,12906,hf,2,2021
57979,5957793155,13114,rdy,3,2021
90116,6092429636,13320,playoffs,1,2021
5672,5775267716,12726,wp,1,2021
92474,6096816236,11912,demais,1,2021
19475,5815828458,12705,will,1,2021
46406,5912682509,11912,qm,1,2021
200884,5746391850,11863,changes,1,2020
18153,5808735996,12755,kanceeeeeeeeeeeeeeeeeel,1,2021
14416,5793814065,12720,gege,1,2021
95552,6102669638,13320,see,3,2021
48796,5926212113,12906,hai,1,2021
91219,6095273211,13320,line,2,2021
