no,is_pick,hero_id,team,order,ord,match_id,leagueid,data_year
295115,False,54.0,1.0,21.0,21.0,5525837582,11510,2020
277210,False,86.0,0.0,19.0,19.0,5505523877,12160,2020
282086,False,39.0,1.0,3.0,3.0,5509678130,12139,2020
202562,True,32.0,1.0,20.0,20.0,5426789177,11889,2020
292786,False,65.0,0.0,8.0,8.0,5523367315,12096,2020
247720,False,97.0,0.0,18.0,18.0,5473496317,11668,2020
290575,False,56.0,1.0,3.0,3.0,5520537016,12183,2020
263803,True,100.0,0.0,14.0,14.0,5488557686,12139,2020
251926,False,108.0,0.0,13.0,13.0,5476670968,12098,2020
212809,False,90.0,1.0,6.0,6.0,5437214335,12027,2020
209970,True,38.0,1.0,17.0,17.0,5434516163,11999,2020
295947,False,93.0,0.0,13.0,13.0,5527496745,11249,2020
255260,False,126.0,0.0,4.0,4.0,5480198298,11249,2020
234733,True,87.0,1.0,8.0,8.0,5462093930,12005,2020
224079,False,121.0,0.0,7.0,7.0,5450113195,12027,2020
