no,order,pick,active_team,hero_id,player_slot,extra_time,total_time_taken,match_id,leagueid,data_year
48418,17.0,True,2.0,129.0,4.0,51.0,50.0,5246071603,11672,2020
54494,18.0,True,2.0,11.0,0.0,119.0,57.0,5254723606,11249,2020
24480,13.0,False,2.0,41.0,,130.0,5.0,5223333813,11382,2020
68827,15.0,True,3.0,45.0,9.0,130.0,7.0,5275093116,11694,2020
14070,22.0,True,3.0,25.0,6.0,93.0,9.0,5203135485,11592,2020
96881,13.0,False,3.0,41.0,,76.0,3.0,5314389995,11668,2020
25236,21.0,True,3.0,106.0,5.0,72.0,33.0,5223964918,10884,2020
64063,21.0,True,3.0,52.0,8.0,72.0,19.0,5268337654,10884,2020
53255,11.0,False,2.0,11.0,,130.0,68.0,5253114936,11620,2020
21041,2.0,False,2.0,31.0,,104.0,4.0,5217985005,11382,2020
19867,12.0,False,3.0,6.0,,106.0,16.0,5214868690,11382,2020
32824,6.0,False,3.0,128.0,,111.0,27.0,5231478346,10884,2020
78373,22.0,True,2.0,6.0,3.0,11.0,30.0,5287215270,11741,2020
65842,19.0,False,2.0,25.0,,83.0,40.0,5270438909,11263,2020
78162,9.0,True,2.0,51.0,2.0,130.0,32.0,5287075561,11719,2020
15213,21.0,True,3.0,80.0,7.0,18.0,1.0,5204689360,11620,2020
24272,3.0,False,2.0,91.0,,130.0,51.0,5223240360,10884,2020
99251,7.0,False,2.0,126.0,,130.0,76.0,5318308043,11370,2020
18263,13.0,False,3.0,44.0,,84.0,3.0,5212283963,11478,2020
15965,3.0,False,2.0,91.0,,130.0,18.0,5206828942,11517,2020
35413,2.0,False,2.0,128.0,,130.0,20.0,5232752389,11629,2020
4510,5.0,False,3.0,112.0,,130.0,25.0,5187208131,11370,2020
182,9.0,True,3.0,100.0,7.0,130.0,46.0,5178384656,11249,2020
53113,1.0,False,2.0,15.0,,130.0,35.0,5253033812,11688,2020
37385,22.0,True,2.0,97.0,2.0,53.0,32.0,5234656086,11661,2020
13740,22.0,True,3.0,2.0,5.0,1.0,60.0,5202578730,11382,2020
75017,19.0,False,2.0,5.0,,125.0,43.0,5283030960,11382,2020
22957,8.0,True,3.0,101.0,7.0,130.0,18.0,5221361704,11382,2020
45765,13.0,False,3.0,57.0,,117.0,23.0,5241995098,11661,2020
51056,5.0,False,2.0,91.0,,130.0,21.0,5250819171,10946,2020
40242,21.0,True,3.0,77.0,5.0,59.0,5.0,5236132487,11661,2020
64265,3.0,False,3.0,19.0,,130.0,17.0,5268642597,11263,2020
2107,21.0,True,3.0,21.0,7.0,72.0,1.0,5183299211,11583,2020
98742,4.0,False,2.0,11.0,,130.0,38.0,5317417608,11249,2020
95704,2.0,False,2.0,98.0,,130.0,31.0,5312507193,10884,2020
22625,6.0,False,2.0,15.0,,130.0,23.0,5220911270,11591,2020
9975,19.0,False,3.0,74.0,,129.0,30.0,5196212178,11249,2020
73117,9.0,True,3.0,42.0,6.0,127.0,37.0,5280505968,10884,2020
68879,1.0,False,2.0,73.0,,130.0,36.0,5275316546,11263,2020
