no,minute,gold,match_id,leagueid,data_year
168879,44,38312.0,5332390057,11800,2020
133740,18,1128.0,5295310079,11591,2020
181255,12,-545.0,5343467499,11834,2020
113876,8,248.0,5277775065,11382,2020
161219,22,7271.0,5325071615,11099,2020
155202,12,-914.0,5318411865,11382,2020
145769,19,-394.0,5308846416,11591,2020
296275,27,6897.0,5417748137,11668,2020
222712,10,-227.0,5374503649,11836,2020
231942,11,3318.0,5380584274,11829,2020
287283,23,-9475.0,5413869752,11912,2020
213342,18,-4400.0,5366665412,11829,2020
291812,27,3490.0,5415390625,12036,2020
284358,46,9341.0,5412506235,11953,2020
293377,23,4826.0,5416155802,11964,2020
299636,33,1279.0,5419871832,11973,2020
281536,1,0.0,5411036563,12008,2020
242728,20,-8756.0,5387673377,11947,2020
271273,22,-2300.0,5405878958,11027,2020
254304,30,-10382.0,5395658236,11975,2020
291355,21,7997.0,5415198171,11439,2020
201249,2,-467.0,5359992382,11823,2020
258497,34,6055.0,5398330024,11953,2020
222096,40,-1602.0,5373757617,11898,2020
232906,19,-809.0,5380822044,11863,2020
247040,34,11354.0,5390662825,11864,2020
291207,52,-13432.0,5415121143,11999,2020
244077,29,4098.0,5388585777,11829,2020
231048,26,10602.0,5380172406,11478,2020
224191,3,222.0,5375604431,11863,2020
211968,20,-9772.0,5366155937,11880,2020
210443,31,11493.0,5365459970,11370,2020
241072,25,1032.0,5386795627,11829,2020
275565,20,8798.0,5407706477,11780,2020
230537,30,-8794.0,5379937320,11887,2020
285719,19,1073.0,5412846413,11898,2020
260710,30,-200.0,5399964055,11898,2020
222545,27,3520.0,5374297953,11877,2020
212829,25,17147.0,5366483234,11829,2020
232106,12,-3059.0,5380586294,11829,2020
240830,27,-298.0,5386593849,11829,2020
267926,11,0.0,5404648756,12027,2020
206602,10,-2216.0,5363083590,11887,2020
200592,21,-20906.0,5359697217,11439,2020
210415,3,-31.0,5365459970,11370,2020
266996,29,16577.0,5404261360,11831,2020
225913,21,-10597.0,5377033063,11864,2020
285207,14,-1983.0,5412722103,11953,2020
296808,46,-5431.0,5418032693,11964,2020
241561,13,-3524.0,5387035212,11831,2020
230532,25,-7482.0,5379937320,11887,2020
274902,26,6474.0,5407591545,11464,2020
299060,22,2048.0,5419466896,11912,2020
267290,15,13584.0,5404631259,12027,2020
236354,24,4636.0,5383791774,11828,2020
232751,34,-17422.0,5380764170,11829,2020
215927,37,7957.0,5368369601,11877,2020
240839,36,-13316.0,5386593849,11829,2020
226413,2,-254.0,5377435044,11887,2020
228215,6,-504.0,5378453025,11829,2020
208354,18,1668.0,5363993015,11829,2020
256603,4,-663.0,5397491284,11792,2020
275686,45,4771.0,5407736020,12027,2020
254614,30,15928.0,5395803327,11099,2020
