no,time,type,slot,key,player_slot,value,killer,team,unit,match_id,leagueid,data_year
14927,1936.0,building_kill,0.0,npc_dota_badguys_tower3_top,0.0,,,,npc_dota_hero_bristleback,5779696623,12719,2021
419752,247.0,CHAT_MESSAGE_FIRSTBLOOD,9.0,3,132.0,,,,,5722993241,12567,2020
49473,3096.0,CHAT_MESSAGE_ROSHAN_KILL,,,,,,2.0,,5844527926,12718,2021
52132,654.0,CHAT_MESSAGE_COURIER_LOST,,,,,,9.0,,5849245373,12735,2021
41779,724.0,building_kill,4.0,npc_dota_badguys_tower1_mid,4.0,,,,npc_dota_hero_troll_warlord,5828598364,12814,2021
7033,644.0,building_kill,0.0,npc_dota_badguys_tower1_mid,0.0,,,,npc_dota_hero_monkey_king,5775220934,12726,2021
8342,1617.0,building_kill,,npc_dota_goodguys_tower2_bot,,,,,npc_dota_creep_badguys_melee,5775303246,12726,2021
430814,49.0,CHAT_MESSAGE_COURIER_LOST,,,,,,9.0,,5736582825,12528,2020
441744,1810.0,building_kill,5.0,npc_dota_goodguys_range_rax_mid,128.0,,,,npc_dota_hero_tidehunter,5746953850,11863,2020
25649,1187.0,building_kill,9.0,npc_dota_goodguys_melee_rax_bot,132.0,,,,npc_dota_hero_terrorblade,5798024781,12727,2021
31452,1861.0,CHAT_MESSAGE_ROSHAN_KILL,,,,,,2.0,,5808644751,12755,2021
13315,2159.0,building_kill,,npc_dota_goodguys_range_rax_top,,,,,npc_dota_badguys_siege,5778733745,12724,2021
45570,2119.0,building_kill,7.0,npc_dota_goodguys_tower3_mid,130.0,,,,npc_dota_hero_riki,5837292772,12832,2021
50407,822.0,building_kill,7.0,npc_dota_goodguys_tower1_bot,130.0,,,,npc_dota_hero_death_prophet,5846170929,12705,2021
47540,665.0,building_kill,6.0,npc_dota_goodguys_tower1_mid,129.0,,,,npc_dota_hero_templar_assassin,5841831098,12727,2021
