no,match_id,leagueid,radiant.team_id,radiant.name,radiant.tag,radiant.logo_url,dire.team_id,dire.name,dire.tag,dire.logo_url,data_year
18419,7265058316,15257,9025669,CrimsonSky,CS,https://steamusercontent-a.akamaihd.net/ugc/2075635690086590897/AE8997D69BAE95D9DEE56EAF662269E793887E3F/,8970060,Moonwalkers,MW,https://steamusercontent-a.akamaihd.net/ugc/2029468089264423859/85E899F41FAB04B80B2041B13237C4CA56BE48CF/,2023
3328,5279488381,11382,7358551,Sunrise,,https://steamusercontent-a.akamaihd.net/ugc/775103976193271931/250ADBD10EC520F89708F9B0F14365BA9ADB4696/,7467638,Team Rockets,,https://steamusercontent-a.akamaihd.net/ugc/764974771702063556/BB17069ED4F65C064E7912C8AAA4EF67EB2F480D/,2020
12606,5504237956,12160,7998370,Spade A,,https://steamusercontent-a.akamaihd.net/ugc/1644339474304671251/1798B0731267EE8387057DE7C7259751756A3961/,7716098,Leopard Gaming,,https://steamusercontent-a.akamaihd.net/ugc/998053942974230410/CD3168D7FDAFADE2FB7743E4DB496B5AE5E55F0F/,2020
10180,7698373795,16109,8957156,Silent killer,sK,https://steamusercontent-a.akamaihd.net/ugc/2431453582272336330/5CA27C9845C6CB2F21DF0776E0155ED13942CB44/,9005364,Night Vision,NV,https://steamusercontent-a.akamaihd.net/ugc/2460727068613839643/35E9953E42B26F1F51DB7285BA04DC200FC27A76/,2024
4889,7031963950,15089,15,PSG.LGD,PSG.LGD,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/15.png,8291895,Tundra Esports,Tundra,https://steamusercontent-a.akamaihd.net/ugc/2031716132171967904/07B168B8063D9B22CDAD53AB421ECAF3D4B2E07E/,2023
4976,7033246863,14659,8629318,Mad Monkeys,Mm,https://steamusercontent-a.akamaihd.net/ugc/2030594623051270091/A10316EBD20ECE720470ED4A5D07B3C6DDDC693A/,8629005,Flawless Goblins,Fg,https://steamusercontent-a.akamaihd.net/ugc/1972044023037974203/AFD57B5B64B1E42F199DC861D81052FD991943EC/,2023
21434,7326177433,15026,8629317,Bright Crusaders,Bc,https://steamusercontent-a.akamaihd.net/ugc/1898855551945525392/1DB70894416C865659F1417EC6330B6DE78470F9/,2443375,Foxy gaming,Foxy,https://steamusercontent-a.akamaihd.net/ugc/2050873742320252975/AC5A2097BEF04FD6D958B34C8A02A75C445ED58A/,2023
8146,5406584259,12027,7939835,throne,,,6266565,0-900,0-900,https://steamusercontent-a.akamaihd.net/ugc/781873071400631505/B28548CACF0859792995F0AE6EB69762B5988AB8/,2020
1909,7548004683,12903,-1,<UNKNOWN>,<UNKNOWN>,<UNKNOWN>,-1,<UNKNOWN>,<UNKNOWN>,<UNKNOWN>,2024
1668,5815971623,12817,8283005,Dream Maker,Dream Make,https://steamusercontent-a.akamaihd.net/ugc/1765942692046479396/CB757A92CFC6A6A479D48E31415E42F0BB6D92F0/,5896013,The Prime,ThePrime,https://steamusercontent-a.akamaihd.net/ugc/1658973170871965138/BCEC643ED88AFA558E8E5939723632B80F2F93DC/,2021
